;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
I alt;47826;52840;57518;63849;70691;76329;82989;97316;109927;124986;147518;164304;180078;198414;213151;237008;264821;288688;319569;344691;369523;377998;386082;405611;417897;438413;454654;453844;495540;512515;533147;557374;577673;588802;608317;624745;645276;660424;700291;740161;779007;804438;829150;805081;832657;856125;879638;893068;908166;934670;963031;1000478;1042239;1066564;1044357;1120753;1213837
Fødevarer;8802;9557;10252;11017;12287;12959;13705;16303;17707;19359;22277;24048;26528;27769;30048;34251;37640;39344;43209;44112;45384;46269;47705;50475;51807;52768;54589;53322;56315;59065;60157;61608;62692;61797;63683;66187;67499;68326;70735;72190;74899;77848;83533;81222;83572;85588;89509;90604;92047;94403;98103;102018;104105;105800;112036;118371;125441
Drikkevarer og tobak mv.;6075;6539;7141;7522;8049;8753;9274;10439;11540;12551;14579;16986;18199;19305;20280;21969;24604;26855;29790;30871;31981;30841;31499;30747;31657;32519;33231;31552;33590;34004;34970;36494;36687;37388;38645;39344;40206;39566;38753;39312;39481;40768;41078;41979;41767;44155;45120;45646;45587;45433;46161;48773;49748;50723;53780;62028;61048
Beklædning og fodtøj;4209;4340;4396;4876;5139;5072;5340;6084;6690;7163;8633;9254;9722;10546;10936;11567;13210;14367;15989;17790;21058;19826;19715;19076;19896;20885;21196;21309;23702;23541;24448;26241;27592;27343;27633;28194;28721;29464;30760;31832;34542;36912;36770;38077;38126;37373;39648;39051;39487;40130;40999;41745;43042;43319;42601;47496;49672
Boligbenyttelse;4432;5329;6309;7261;8457;9859;11522;13625;15817;19022;23109;26804;30252;33761;37232;41041;45918;50277;54627;58200;62895;67476;71810;77455;83017;87918;91926;94885;98695;101529;104949;109196;112925;115934;120070;125276;130867;136676;142879;149037;155195;161848;169664;176847;187500;195508;203131;209335;215080;220496;226946;233870;242897;249051;256236;263258;277015
Elektricitet, gas og andet brændsel;1745;1918;2337;2579;3034;3377;3483;4295;7319;6975;7991;8995;10270;13634;17741;21048;22814;22201;22295;24877;26043;28524;25787;26554;26708;28272;28139;29462;29524;31038;34211;33512;34942;35638;37906;40947;41849;43175;43724;45776;47538;45348;48588;47519;56267;56509;56615;58840;53163;53079;52155;50943;53136;50574;48102;56561;75896
Boligudstyr, husholdningsudstyr og vedligholdelse heraf;4416;4718;4977;5477;5934;6146;6789;7920;8296;9686;11149;11917;12587;13455;13548;14139;15405;16615;18233;20217;21968;22276;23166;22822;23003;23199;24101;24631;27636;28395;28862;30822;32165;32993;33460;34343;35953;36392;38175;39786;42231;44883;45701;41999;42116;42004;42331;43291;45765;48707;51009;54993;56664;57329;62646;67126;66144
Medicin, lægeudgifter o.l.;750;847;965;1065;1282;1457;1645;1827;2050;2251;2154;2427;2650;2746;3104;3413;3915;4525;4971;5561;6286;6766;8091;8564;9918;10512;11200;11167;12106;12296;13058;13993;14550;15005;15505;16384;16990;17502;18981;19877;20970;21926;22246;24100;24667;25214;25451;25497;26185;27166;27864;28744;29953;30730;31706;33270;33748
Køb af køretøjer;2497;2640;2643;3366;3413;3488;4003;5090;3653;5683;8380;8591;9032;9488;6014;6620;8600;12920;17145;21270;23057;18857;14289;13754;14004;15121;15589;14890;26882;28935;31693;33157;35684;32426;26281;23923;27941;24117;34560;42544;47480;46517;38662;26758;28302;29203;29910;32516;33609;36237;37678;38897;44044;47615;48092;49390;44151
Anden transport og kommunikation;3820;4355;4896;5523;6172;6821;7330;8472;10381;11536;13162;14609;16260;18609;22513;25788;28500;30921;33908;36194;36489;38085;38281;41065;41143;43049;44983;42361;45492;47398;50036;53238;52292;57223;61611;61481;62145;63364;68012;71760;74203;78080;83613;77993;82182;85727;88803;90516;91443;92308;93874;97270;104504;106015;91398;94797;107474
Fritidsudstyr, underholdning og rejser;3896;4422;4793;5353;6075;6647;7037;8500;9913;11827;14062;15918;17071;18171;18684;21137;23306;25564;29701;32331;35880;37182;36769;39268;40656;43842;46122;46296;50121;52486;56526;59982;61669;64938;68369;70853;72811;77102;83246;88368;95627;98171;98809;92872;92108;95110;97621;97999;101192;106858;111921;118201;122280;126127;114416;123097;137600
Andre varer og tjenester;7184;8176;8810;9810;10850;11751;12862;14762;16560;18933;22020;24754;27508;30930;33051;36034;40907;45098;49700;53268;58481;61897;68971;75831;76087;80328;83580;83969;91477;93828;94237;99132;106473;108117;115154;117814;120293;124741;130465;139681;146841;152138;160486;155715;156051;159732;161498;159771;164607;169853;176322;185023;191867;199280;183344;205359;235647